"X.studied.variable","Y.studied.variable","Computed.marginal.EPMF.of.X","Computed.marginal.EPMF.of.Y","Chi2","Chi2.p.value","Information.entropy.of.X","Information.entropy.of.Y","Joint.information.entropy.of.X.and.Y","Conditional.information.entropy.of.Y.given.X","Conditional.information.entropy.of.X.given.Y","Mutual.information.of.X.and.Y","Normalized.mutual.information.of.X.and.Y"
"transactions","transactions",2376,2376,5935125.00032433,0,7.75373789099157,7.75373789099157,7.75373789099157,0,0,7.75373789099157,1
"transactions","median_transaction_value",2376,2482,5893891.5003638,0.329276379547076,7.75373789099157,7.81421535694948,7.82364593083465,0.00943057388516933,0.0699080398430823,7.7443073171064,0.994911229488136
"transactions","av_transaction_value",2376,2373,5640659.50023468,0.0164937537230717,7.75373789099157,7.7527018211028,7.82364593083465,0.0709441097318642,0.0699080398430823,7.6827937812597,0.990916540618491
"transactions","market_cap",2376,2499,5935125.00038419,0.245229191607153,7.75373789099157,7.82364593083465,7.82364593083465,0,0.0699080398430823,7.75373789099157,0.995522234289393
"transactions","top_100_percent",2376,2148,5091608.37501616,0.990731099275821,7.75373789099157,7.61451742484328,7.82364593083465,0.209128505991421,0.0699080398430823,7.54460938500014,0.981883606500916
"transactions","active_addresses",2376,2444,5813298.75031598,0.000522324095557747,7.75373789099157,7.78728452703696,7.82364593083465,0.0363614037976951,0.0699080398430823,7.71737648719387,0.993164318177643
"transactions","tweets",2376,1569,3755600.3331982,0,7.75373789099157,7.18661954816206,7.82364593083465,0.637026382672678,0.0699080398430823,7.11671150831889,0.953369987290585
"median_transaction_value","median_transaction_value",2482,2482,6200019.00047515,0,7.81421535694948,7.81421535694948,7.81421535694948,0,0,7.81421535694948,1
"median_transaction_value","av_transaction_value",2482,2373,5886394.50032183,0.334888523233291,7.81421535694948,7.7527018211028,7.82364593083465,0.0709441097318642,0.00943057388516933,7.74327124721761,0.9948445943582
"median_transaction_value","market_cap",2482,2499,6200019.00048655,0.24046982434169,7.81421535694948,7.82364593083465,7.82364593083465,0,0.00943057388516933,7.81421535694948,0.999397121395104
"median_transaction_value","top_100_percent",2482,2148,5326514.37510319,0.523449162985319,7.81421535694948,7.61451742484328,7.82364593083465,0.209128505991421,0.00943057388516933,7.60508685095806,0.985916869508739
"median_transaction_value","active_addresses",2482,2444,6063198.75040539,0.271660095775517,7.81421535694948,7.78728452703696,7.82364593083465,0.0363614037976951,0.00943057388516933,7.77785395315178,0.99706638447534
"median_transaction_value","tweets",2482,1569,3894476.30818574,0.0630205677306306,7.81421535694948,7.18661954816206,7.82364593083465,0.637026382672678,0.00943057388516933,7.1771889742768,0.957743837118314
"av_transaction_value","av_transaction_value",2373,2373,5927628.00031341,0,7.75270182110279,7.7527018211028,7.75270182110279,0,0,7.75270182110279,1
"av_transaction_value","market_cap",2373,2499,5927628.0003765,0.245366161443552,7.75270182110279,7.82364593083465,7.82364593083465,0,0.0709441097318642,7.75270182110278,0.995455720236247
"av_transaction_value","top_100_percent",2373,2148,5101500.25001978,0.00288058598952978,7.75270182110279,7.61451742484328,7.82364593083465,0.209128505991421,0.0709441097318642,7.54357331511136,0.981814366687358
"av_transaction_value","active_addresses",2373,2444,5798679.60030508,0.126993797801388,7.75270182110279,7.78728452703696,7.82364593083465,0.0363614037976951,0.0709441097318642,7.71634041730509,0.993097336349238
"av_transaction_value","tweets",2373,1569,3728241.24153365,0.000523813770453185,7.75270182110279,7.18661954816206,7.82364593083465,0.637026382672679,0.0709441097318642,7.11567543843011,0.953294885846606
"market_cap","market_cap",2499,2499,6242502.00050437,0.239720696633729,7.82364593083465,7.82364593083465,7.82364593083465,0,0,7.82364593083465,1
"market_cap","top_100_percent",2499,2148,5365353.00011754,0.256019976347801,7.82364593083465,7.61451742484328,7.82364593083465,0.209128505991421,0,7.61451742484323,0.98654431568658
"market_cap","active_addresses",2499,2444,6105057.00042189,0.24215832199052,7.82364593083465,7.78728452703696,7.82364593083465,0.0363614037976951,0,7.78728452703695,0.997673479144998
"market_cap","tweets",2499,1569,3918431.99985026,0.287607569527551,7.82364593083465,7.18661954816206,7.82364593083465,0.637026382672678,0,7.18661954816197,0.958424116879775
"top_100_percent","top_100_percent",2148,2148,5365353.00006706,0,7.61451742484332,7.61451742484328,7.61451742484332,0,0,7.61451742484332,1
"top_100_percent","active_addresses",2148,2444,5241985.70008405,0.833480706239819,7.61451742484332,7.78728452703696,7.82232706854333,0.0350425415063768,0.207809643700102,7.57947488333685,0.984294150647181
"top_100_percent","tweets",2148,1569,3355710.74990759,0.999984134552999,7.61451742484332,7.18661954816206,7.82309119119434,0.636471643032374,0.208573766351117,6.97804578181085,0.943301000011453
"active_addresses","active_addresses",2444,2444,6105057.00042873,0,7.78728452703696,7.78728452703696,7.78728452703696,0,0,7.78728452703696,1
"active_addresses","tweets",2444,1569,3835790.46652299,0.0310227457044731,7.78728452703696,7.18661954816206,7.82364593083465,0.637026382672678,0.0363614037976951,7.15025814436427,0.955798561701222
"tweets","tweets",1569,1569,3918431.99990815,0,7.18661954816208,7.18661954816206,7.18661954816208,0,0,7.18661954816208,1
